4.207,6.9403
3.0287,4.6411
1.0825,0.63628
1.6356,3.5521
0.53429,1.8295
1.7354,2.7811
3.4118,6.3411
3.4293,5.8483
1.5573,1.5885
2.8018,3.8024
1.9784,1.6794
1.3588,1.4059
3.1033,3.4644
1.3267,0.63112
1.8202,1.7939
2.2859,3.1767
2.9231,3.9772
2.9575,4.3896
3.1341,4.7325
-0.12363,-1.1025
4.6081,5.6767
3.5121,5.8258
1.2169,5.1297
1.3536,4.6733
1.6998,3.4007
0.74337,3.7872
2.7627,5.5173
3.1,5.0428
4.0344,4.8477
0.32938,2.9528
1.8885,4.9519
4.3909,7.9425
3.8639,4.5318
3.4191,4.6442
3.2183,6.9877
3.7087,4.9031
2.2889,4.9982
4.7196,7.056
4.5461,6.3501
3.1045,5.1277
4.4326,5.041
2.0399,5.4528
4.7655,6.6916
3.7655,4.1328
3.9749,6.6488
4.2424,5.7143
3.7714,6.2114
-0.3177,3.2693
0.013697,2.8482
4.4742,5.6869
3.5356,5.7641
1.898,4.1833
3.9977,5.8315
2.4938,4.1585
1.6423,5.56
5.6086,6.1051
1.625,5.0756
3.6221,5.5704
4.1833,5.7152
3.9057,6.1618
2.6311,4.9449
1.6155,4.1624
3.4389,5.9993
3.9267,6.4697
3.9018,6.4265
5.2522,4.8359
3.1159,5.5633
4.5358,6.2938
2.0437,4.7284
1.9353,4.0746
1.1854,4.2596
3.5665,6.0604
0.91493,4.3727
6.0046,6.9821
1.2785,3.4037
2.0878,4.9783
4.6581,5.7391
4.5478,5.8416
6.6449,6.3263
3.0916,5.368
0.94061,4.0261
2.8621,4.5676
4.2392,5.0359
3.9704,5.2444
3.3282,5.6469
3.9657,5.3017
2.4945,5.6303
2.9765,3.5663
5.043,5.6829
4.0746,5.3285
3.3909,5.2396
2.1008,4.1922
4.3826,5.662
5.2366,6.691
2.3221,5.0901
0.55429,4.429
2.5499,5.4526
0.88352,3.4384
3.7925,4.9171
1.2829,4.0797
2.1387,5.5328
2.16,3.8814
4.9752,6.4551
0.16018,4.9211
2.3017,5.2082
3.3967,4.6841
1.8489,6.7264
1.9239,4.1379
2.0775,5.0733
1.3884,4.1009
2.559,3.8181
2.9693,4.7349
3.5028,5.2813
4.1103,4.93
3.3057,6.0913
2.4787,4.3444
1.0431,2.8162
2.702,5.4145
2.3732,5.6647
3.0264,5.5192
